pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,,,,,12.300,,,0,3972.87500,476.74500,-476.74500,0,0.64,0.06,-0.06,0,0.60,0.05,-0.05,0
30 Ari B b,30 Ari B,4,1,0,335.10001000,2.50000000,-2.50000000,0,12.300,,,0,4392.41060,572.09400,-572.09400,0,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0
4 UMa b,4 UMa,1,1,0,269.30000000,1.96000000,-1.96000000,0,12.700,,,0,2256.50000,508.50000,-508.50000,0,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0
42 Dra b,42 Dra,2,1,0,479.10000000,6.20000000,-6.20000000,0,13.000,,,0,1233.13000,270.14000,-270.14000,0,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0
47 UMa b,47 UMa,1,3,0,1078.00000000,2.00000000,-2.00000000,0,13.200,,,0,804.08000,22.25000,-19.07000,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
47 UMa c,47 UMa,1,3,0,2391.00000000,100.00000000,-87.00000000,0,14.200,,,0,171.62100,20.97600,-23.20100,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
47 UMa d,47 UMa,1,3,0,14002.00000000,4018.00000000,-5095.00000000,0,13.500,,,0,521.22000,92.17000,-152.55000,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
51 Eri b,51 Eri,3,1,0,11688.00000000,6209.25000000,-3287.25000000,0,13.400,,,0,635.66000,,,0,1.49,0.05,-0.06,0,1.75,0.05,-0.05,0
51 Peg b,51 Peg,1,1,0,4.23078500,0.00003600,-0.00003600,0,14.300,,,0,146.20180,19.06980,-3.17830,0,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0
55 Cnc b,55 Cnc,2,5,0,14.65160000,0.00010000,-0.00010000,0,13.900,,,0,263.97850,1.04880,-1.04880,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0
55 Cnc c,55 Cnc,2,5,0,44.39890000,0.00420000,-0.00430000,0,8.510,,,0,54.47380,1.74800,-1.74800,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0
55 Cnc d,55 Cnc,2,5,0,5574.20000000,93.80000000,-88.60000000,0,13.000,,,0,1232.49300,21.61200,-21.61200,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0
55 Cnc e,55 Cnc,2,5,0,0.73654740,0.00000130,-0.00000140,0,1.875,0.029,-0.029,0,7.99000,0.32000,-0.33000,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0
55 Cnc f,55 Cnc,2,5,0,259.88000000,0.29000000,-0.29000000,0,7.590,,,0,44.81200,3.81400,-3.81400,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0
