pl_name,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim
CoRoT-9 b,Published Confirmed,0,95.272656,0.000068,-0.000068,0,266.9772,15.8915,-15.8915,0
CoRoTID 223977153 b,Published Confirmed,0,6.71837,0.00001,-0.00001,0,47.6745,31.783,-31.783,0
DENIS-P J082303.1-491201 b,Published Confirmed,0,246.36,1.38,-1.35,0,9057.77,603.85,-603.85,0
DP Leo b,Published Confirmed,0,8693,,,0,1995.88832,184.33363,-184.33363,0
DS Tuc A b,Published Confirmed,0,8.1387,0.0005,-0.0005,0,413.179,,,1
EPIC 211945201 b,Published Confirmed,0,19.49213,0.00001,-0.00001,0,27,14,-12.6,0
EPIC 220674823 b,Published Confirmed,0,0.571336,0.00002,-0.00002,0,9,1.6,-1.6,0
EPIC 220674823 b,Published Confirmed,0,0.571,,,0,7.72,0.8,-0.79,0
EPIC 220674823 b,Published Confirmed,0,0.571292,0.000012,-0.000013,0,8.36,0.96,-0.94,0
EPIC 220674823 c,Published Confirmed,0,13.3387,0.0018,-0.0018,0,5.7,6.1,-6.1,0
EPIC 220674823 c,Published Confirmed,0,13.3397,0.00091,-0.00096,0,5.8,3.3,-3,0
EPIC 246851721 b,Published Confirmed,0,6.180235,0.000014,-0.000014,0,953.49,349.613,-381.396,0
EPIC 248847494 b,Published Confirmed,0,3650,1280,-1130,0,4131.79,,,1
EPIC 249893012 b,Published Confirmed,0,3.5951,0.0003,-0.0003,0,8.75,1.09,-1.08,0
EPIC 249893012 c,Published Confirmed,0,15.624,0.001,-0.001,0,14.67,1.84,-1.89,0
EPIC 249893012 d,Published Confirmed,0,35.747,0.005,-0.005,0,10.18,2.46,-2.42,0
GJ 1132 b,Published Confirmed,0,1.6289287,0.0000018,-0.0000018,0,1.63,0.54,-0.54,0
GJ 1132 b,Published Confirmed,0,1.62893,0.000031,-0.000031,0,1.62,0.55,-0.55,0
GJ 1132 b,Published Confirmed,0,1.628931,0.000027,-0.000027,0,1.66,0.23,-0.23,0
GJ 1214 b,Published Confirmed,0,1.58040456,0.00000016,-0.00000016,0,6.26125,0.85814,-0.85814,0
GJ 1214 b,Published Confirmed,0,1.58040482,0.00000024,-0.00000024,0,6.45,0.91,-0.91,0
GJ 1214 b,Published Confirmed,0,1.5803925,0.0000117,-0.0000117,0,6.55,0.98,-0.98,0
GJ 1214 b,Published Confirmed,0,1.58040433,0.00000013,-0.00000013,0,8.17,0.43,-0.43,0
GJ 1214 b,Published Confirmed,0,1.58040487,0.00000067,-0.00000067,0,6.37,0.87,-0.87,0
GJ 1214 b,Published Confirmed,0,1.58040482,0.00000024,-0.00000024,0,6.43,0.86,-0.86,0
GJ 1252 b,Published Confirmed,0,0.5182349,0.0000063,-0.000005,0,2.09,0.56,-0.56,0
GJ 143 b,Published Confirmed,0,35.61253,0.0006,-0.00062,0,22.7,2.2,-1.9,0
GJ 143 b,Published Confirmed,0,35.589,0.006,-0.005,0,30.63,2.63,-2.67,0
GJ 317 b,Published Confirmed,0,692,2,-2,0,794.5,222.5,-127.1,0
GJ 3470 b,Published Confirmed,0,3.3366496,0.0000039,-0.0000033,0,13.9,1.5,-1.5,0
GJ 3470 b,Published Confirmed,0,3.336649,0.000084,-0.000081,0,12.58,1.31,-1.28,0
GJ 3470 b,Published Confirmed,0,3.33665,0.00005,-0.00005,0,13.9,1.5,-1.4,0
GJ 3470 b,Published Confirmed,0,3.336649,0.000005,-0.000005,0,14.1,1.3,-1.3,0
GJ 3470 b,Published Confirmed,0,3.33714,0.00017,-0.00017,0,14,1.7,-1.7,0
GJ 3470 b,Published Confirmed,0,3.3366487,0.0000043,-0.0000033,0,13.73,1.61,-1.61,0
GJ 3473 b,Published Confirmed,0,1.1980035,0.0000018,-0.0000019,0,1.86,0.3,-0.3,0
GJ 357 b,Published Confirmed,0,3.93072,0.00008,-0.00006,0,1.84,0.31,-0.31,0
GJ 3634 b,Published Confirmed,0,2.64561,0.00066,-0.00066,0,8.4,4,-1.5,0
GJ 436 b,Published Confirmed,0,2.64386,0.00003,-0.00003,0,23.1,0.9,-0.9,0
GJ 436 b,Published Confirmed,0,2.64388312,0.00000057,-0.00000057,0,22.1,2.3,-2.3,0
GJ 436 b,Published Confirmed,0,2.6,,,0,23.201,,,0
GJ 436 b,Published Confirmed,0,2.64389803,0.00000027,-0.00000025,0,25.4,2.1,-2,0
GJ 436 b,Published Confirmed,0,2.64389788,0.0000001,-0.0000001,0,23.13802,0.76279,-0.76279,0
GJ 436 b,Published Confirmed,0,2.64389524,0.00000076,-0.00000076,0,23.42407,1.71628,-1.71628,0
GJ 436 b,Published Confirmed,0,2.64389803,0.00000026,-0.00000026,0,25.4,2.1,-2,0
GJ 436 b,Published Confirmed,0,2.64385,,,0,23.1688,0.7945,-0.7945,0
GJ 486 b,Published Confirmed,0,1.467119,0.000031,-0.00003,0,2.82,0.11,-0.12,0
GJ 676 A b,Published Confirmed,0,1051.1,0.4,-0.4,0,2129.461,572.094,-476.745,0
GJ 876 b,Published Confirmed,0,61.1166,0.0086,-0.0086,0,723.2235,1.4302,-1.4302,0
GJ 876 b,Published Confirmed,0,61.065,0.012,-0.012,0,839.04,,,0
GJ 876 b,Published Confirmed,0,60.83,0.019,-0.019,0,804.076,2.543,-2.543,0
GJ 876 b,Published Confirmed,0,61.087,0.011,-0.012,0,845.3,16.6,-15,0
GJ 876 c,Published Confirmed,0,30.259,0.01,-0.01,0,273.32,,,0
GJ 876 c,Published Confirmed,0,30.0881,0.0082,-0.0082,0,226.9846,1.2395,-1.2395,0
GJ 876 c,Published Confirmed,0,30.0784,0.0075,-0.0071,0,266.2,4.8,-4.3,0
GJ 876 c,Published Confirmed,0,30.455,0.019,-0.019,0,251.075,1.907,-1.907,0
