pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
Kepler-463 b,Kepler-463,1,1,0,8.98101683,0.00000316,-0.00000316,0,3.050,0.430,-0.300,0,9.53000,,,0,0.90,0.13,-0.08,0,0.87,0.05,-0.05,0
Kepler-477 b,Kepler-477,2,1,0,11.11990653,0.00001160,-0.00001160,0,2.070,0.180,-0.120,0,4.94000,,,0,0.79,0.02,-0.02,0,0.87,0.03,-0.03,0
Kepler-487 d,Kepler-487,1,3,0,2.41839004,,,0,2.775,,,0,8.12000,,,0,0.89,0.09,-0.07,0,0.87,0.06,-0.05,0
Kepler-499 b,Kepler-499,1,1,0,5.63252845,0.00000575,-0.00000575,0,2.170,0.250,-0.160,0,5.35000,,,0,0.83,0.07,-0.05,0,0.87,0.05,-0.05,0
Kepler-532 b,Kepler-532,1,1,0,12.92491623,0.00001230,-0.00001230,0,2.570,0.210,-0.140,0,7.13000,,,0,0.79,0.02,-0.02,0,0.87,0.03,-0.03,0
Kepler-550 b,Kepler-550,1,1,0,8.60010411,0.00000425,-0.00000425,0,4.420,0.340,-0.270,0,17.90000,,,0,0.83,0.06,-0.05,0,0.87,0.04,-0.05,0
Kepler-578 b,Kepler-578,1,1,0,1.61688370,0.00000123,-0.00000123,0,2.000,0.180,-0.220,0,4.66000,,,0,0.83,0.07,-0.05,0,0.87,0.04,-0.05,0
Kepler-598 b,Kepler-598,1,2,0,3.70175428,0.00000971,-0.00000971,0,1.500,0.120,-0.090,0,2.86000,,,0,0.86,0.06,-0.05,0,0.87,0.04,-0.04,0
Kepler-668 b,Kepler-668,1,1,0,8.35390639,0.00001695,-0.00001695,0,2.700,0.230,-0.180,0,7.75000,,,0,0.82,0.06,-0.05,0,0.87,0.04,-0.05,0
Kepler-679 b,Kepler-679,1,1,0,12.39358604,0.00003829,-0.00003829,0,3.010,0.320,-0.390,0,9.32000,,,0,0.84,0.07,-0.06,0,0.87,0.05,-0.05,0
Kepler-706 b,Kepler-706,1,1,0,41.40831347,0.00000696,-0.00000696,0,13.170,1.190,-0.880,0,,,,,0.84,0.08,-0.06,0,0.87,0.04,-0.05,0
Kepler-751 b,Kepler-751,1,1,0,17.44490636,0.00004200,-0.00004200,0,2.460,0.230,-0.180,0,6.62000,,,0,0.84,0.08,-0.06,0,0.87,0.05,-0.06,0
Kepler-752 b,Kepler-752,1,1,0,18.82747265,0.00008811,-0.00008811,0,2.810,0.260,-0.210,0,8.30000,,,0,0.83,0.07,-0.06,0,0.87,0.05,-0.06,0
Kepler-85 d,Kepler-85,1,4,0,17.91323000,0.00026600,-0.00026600,0,1.200,0.190,-0.190,0,1.87000,,,0,0.89,0.13,-0.13,0,0.87,0.06,-0.05,0
Kepler-894 b,Kepler-894,1,1,0,9.80322400,0.00003027,-0.00003027,0,2.780,0.300,-0.340,0,8.15000,,,0,0.85,0.09,-0.08,0,0.87,0.06,-0.07,0
Kepler-932 b,Kepler-932,1,1,0,1.92143740,0.00000212,-0.00000212,0,1.370,0.130,-0.100,0,2.45000,,,0,0.84,0.07,-0.05,0,0.87,0.06,-0.05,0
Kepler-933 b,Kepler-933,1,1,0,14.20443009,0.00006185,-0.00006185,0,2.460,0.230,-0.160,0,6.62000,,,0,0.84,0.07,-0.05,0,0.87,0.04,-0.05,0
Kepler-976 b,Kepler-976,1,1,0,105.95641480,0.00046260,-0.00046260,0,3.960,0.290,-0.200,0,14.90000,,,0,0.83,0.05,-0.04,0,0.87,0.04,-0.04,0
Kepler-977 b,Kepler-977,1,1,0,26.85328322,0.00006393,-0.00006393,0,2.620,0.170,-0.170,0,7.37000,,,0,0.83,0.06,-0.04,0,0.87,0.04,-0.05,0
Kepler-979 b,Kepler-979,1,1,0,8.08801350,0.00001135,-0.00001135,0,2.720,0.420,-0.230,0,7.85000,,,0,0.83,0.07,-0.05,0,0.87,0.06,-0.05,0
Lupus-TR-3 b,Lupus-TR-3,1,1,0,3.91405000,0.00004000,-0.00004000,0,9.976,0.785,-0.785,0,257.43100,57.20700,-57.20700,0,0.82,0.05,,0,0.87,0.04,,0
ROXs 12 b,ROXs 12,2,1,0,,,,,12.200,,,0,5085.00000,1271.00000,-1271.00000,0,1.07,0.15,-0.14,0,0.87,0.08,-0.08,0
TOI-1246 b,TOI-1246,1,4,0,4.30744000,0.00002000,-0.00002000,0,3.010,0.060,-0.060,0,8.10000,1.10000,-1.10000,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0
TOI-1246 c,TOI-1246,1,4,0,5.90414400,0.00008300,-0.00008300,0,2.510,0.080,-0.080,0,8.80000,1.20000,-1.20000,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0
TOI-1246 d,TOI-1246,1,4,0,18.65590000,0.00048000,-0.00048000,0,3.510,0.090,-0.090,0,5.30000,1.70000,-1.70000,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0
TOI-1246 e,TOI-1246,1,4,0,37.92160000,0.00100000,-0.00100000,0,3.780,0.160,-0.160,0,14.80000,2.30000,-2.30000,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0
TOI-3693 b,TOI-3693,1,1,0,9.08851600,0.00002600,-0.00002700,0,12.599,0.325,-0.258,0,324.18498,76.27882,-69.92225,0,0.79,0.02,-0.01,0,0.87,0.04,-0.04,0
