pl_name,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim
HAT-P-19 b,Published Confirmed,0,4.008778,0.000006,-0.000006,0,92.802,5.721,-5.721,0,0.82,0.05,-0.05,0,0.84,0.04,-0.04,0,8.8,5.2,-5.2,0
HAT-P-19 b,Published Confirmed,0,4.008778,0.000006,-0.000006,0,90.26372,5.08528,-5.08528,0,0.82,0.05,-0.05,0,0.84,0.04,-0.04,0,8.8,5.2,-5.2,0
HATS-37 A b,Published Confirmed,0,4.3315366,0.0000041,-0.0000041,0,31.46517,13.34886,-13.34886,0,0.88,0.02,-0.01,0,0.84,0.02,-0.01,0,11.46,0.79,-1.45,0
HATS-43 b,Published Confirmed,0,4.3888497,0.0000059,-0.0000059,0,82.95363,17.16282,-17.16282,0,0.81,0.03,-0.03,0,0.84,0.02,-0.02,0,8.6,3,-4.8,0
HD 189733 b,Published Confirmed,0,2.21857578,0.0000008,-0.0000008,0,365.5045,12.39537,-12.39537,0,0.75,0.03,-0.03,0,0.84,0.04,-0.04,0,1.4,4.9,-1.9,0
HD 189733 b,Published Confirmed,0,2.22,,,0,362.3262,,,0,0.78,0.05,-0.06,0,0.84,0.1,-0.11,0,,,,
HD 3167 b,Published Confirmed,0,0.96,,,0,5.59,0.98,-0.96,0,0.88,0.01,-0.01,0,0.84,0.05,-0.04,0,,,,
K2-111 b,Published Confirmed,0,5.3518,0.0004,-0.0004,0,5.29,0.76,-0.77,0,1.25,0.02,-0.02,0,0.84,0.02,-0.02,0,12.3,0.7,-0.7,0
K2-131 b,Published Confirmed,0,0.3693038,0.0000091,-0.0000091,0,6.5,1.6,-1.6,0,0.81,0.03,-0.03,0,0.84,0.03,-0.03,0,,,,
K2-229 b,Published Confirmed,0,0.584249,0.000014,-0.000014,0,2.59,0.43,-0.43,0,0.79,0.03,-0.02,0,0.84,0.02,-0.03,0,5.4,5.2,-3.7,0
K2-229 c,Published Confirmed,0,8.32834,0.00045,-0.00045,0,21.3,,,1,0.79,0.03,-0.02,0,0.84,0.02,-0.03,0,5.4,5.2,-3.7,0
Kepler-1661 b,Published Confirmed,0,175.06,0.06,-0.06,0,17,12,-12,0,0.76,0.01,-0.01,0,0.84,0.02,-0.02,0,2,1,-1,0
Kepler-189 c,Published Confirmed,0,20.135,,,0,22.7,17.1,-10.6,0,0.76,,,0,0.84,,,0,,,,
Kepler-78 b,Published Confirmed,0,0.35500744,0.00000006,-0.00000006,0,1.96716,0.53449,-0.53449,0,0.75,0.03,-0.03,0,0.84,0.32,-0.32,0,,,,
Qatar-1 b,Published Confirmed,0,1.4200242,0.00000022,-0.00000022,0,411.27202,16.52716,-15.57367,0,0.8,0.02,-0.02,0,0.84,0.04,-0.04,0,,,,
WASP-156 b,Published Confirmed,0,3.836169,0.000003,-0.000003,0,40.68224,3.1783,-2.86047,0,0.76,0.03,-0.03,0,0.84,0.05,-0.05,0,6.4,4,-4,0
WASP-2 b,Published Confirmed,0,2.1522254,0.0000015,-0.0000014,0,275.24078,24.15508,-26.69772,0,0.82,0.04,-0.04,0,0.84,0.11,-0.12,0,,,,
WASP-53 b,Published Confirmed,0,3.3098443,0.000002,-0.000002,0,677.61356,29.24036,-29.87602,0,0.8,0.02,-0.02,0,0.84,0.05,-0.05,0,,,,
WASP-6 b,Published Confirmed,0,3.36100208,0.00000031,-0.00000031,0,154.14755,8.58141,-8.58141,0,0.86,0.02,-0.02,0,0.84,0.06,-0.06,0,9,8,-12.7,0
WASP-84 b,Published Confirmed,0,8.5234865,0.000007,-0.000007,0,220.565,8.899,-8.899,0,0.75,0.01,-0.01,0,0.84,0.04,-0.04,0,1,,,0
WASP-84 b,Published Confirmed,0,8.5234865,0.000007,-0.000007,0,220.57402,15.57367,-14.93801,0,0.75,0.01,-0.01,0,0.84,0.04,-0.04,0,8.5,4.1,-5.5,0
WASP-91 b,Published Confirmed,0,2.798581,0.000003,-0.000003,0,425.8922,25.4264,-25.4264,0,0.86,0.03,-0.03,0,0.84,0.07,-0.07,0,,,,
HATS-7 b,Published Confirmed,0,3.185315,0.0000054,-0.0000054,0,39.09309,4.44962,-4.44962,0,0.81,0.05,-0.04,0,0.85,0.03,-0.03,0,7.8,5,-5,0
HATS-7 b,Published Confirmed,0,3.185315,0.0000054,-0.0000054,0,38.1396,3.81396,-3.81396,0,0.81,0.05,-0.04,0,0.85,0.03,-0.03,0,7.8,5,-5,0
HD 15337 b,Published Confirmed,0,4.75642,0.00021,-0.0002,0,7.2,0.81,-0.81,0,0.84,0.02,-0.02,0,0.85,0.04,-0.03,0,7.5,4.2,-4.4,0
HD 15337 c,Published Confirmed,0,17.1784,0.0016,-0.0015,0,8.79,1.68,-1.68,0,0.84,0.02,-0.02,0,0.85,0.04,-0.03,0,7.5,4.2,-4.4,0
Kepler-396 b,Published Confirmed,0,42.994,,,0,75.5,11.8,-5.8,0,1.06,0.39,-0.2,0,0.85,0.13,-0.06,0,,,,
Kepler-396 c,Published Confirmed,0,88.505,,,0,17.9,2.8,-1.3,0,1.06,0.39,-0.2,0,0.85,0.13,-0.06,0,,,,
Kepler-423 b,Published Confirmed,0,2.6843285,0.00000007,-0.00000007,0,192.60498,20.02329,-19.38763,0,0.95,0.04,-0.04,0,0.85,0.04,-0.04,0,11,2,-2,0
Kepler-423 b,Published Confirmed,0,2.6843285,0.00000007,-0.00000007,0,189.101,25.743,-25.743,0,0.95,0.04,-0.04,0,0.85,0.04,-0.04,0,11,2,-2,0
Kepler-454 b,Published Confirmed,0,10.57,0.00000007,-0.00000007,0,6.05338,1.51018,-1.51018,0,1.05,0.07,-0.07,0,0.85,0.22,-0.22,0,,,,
OGLE-TR-111 b,Published Confirmed,0,4.0144477,0.0000019,-0.0000019,0,247.9074,197.0546,-88.9924,0,0.83,0.04,-0.04,0,0.85,0.06,-0.05,0,8.8,5.2,-6.6,0
OGLE-TR-111 b,Published Confirmed,0,4.0144477,0.0000016,-0.0000016,0,174.8065,31.783,-31.783,0,0.82,0.02,-0.02,0,0.85,0.07,-0.07,0,9.7,11,-9.2,0
OGLE-TR-111 b,Published Confirmed,0,4.0161,,,0,174.799,31.782,-31.782,0,0.83,0.04,,0,0.85,0.06,,0,,,,
Qatar-1 b,Published Confirmed,0,1.420033,0.000016,-0.000016,0,346.42,26.697,-25.743,0,0.82,0.03,,0,0.85,0.03,,0,,,,
Qatar-1 b,Published Confirmed,0,1.42002504,0.00000071,-0.00000071,0,422.7139,15.8915,-15.8915,0,0.8,0.05,-0.05,0,0.85,0.03,-0.03,0,4.5,,,0
Qatar-1 b,Published Confirmed,0,1.42002504,0.00000071,-0.00000071,0,419.85343,13.03103,-12.7132,0,0.8,0.05,-0.05,0,0.85,0.03,-0.03,0,11.6,0.6,-4.7,0
TOI-421 b,Published Confirmed,0,5.19672,0.00049,-0.00049,0,7.17,0.66,-0.66,0,0.87,0.01,-0.01,0,0.85,0.03,-0.02,0,9.4,2.4,-3.1,0
TOI-421 c,Published Confirmed,0,16.06819,0.00035,-0.00035,0,16.42,1.06,-1.04,0,0.87,0.01,-0.01,0,0.85,0.03,-0.02,0,9.4,2.4,-3.1,0
WASP-2 b,Published Confirmed,0,2.15222144,0.00000039,-0.00000039,0,279.6904,12.07754,-12.07754,0,0.82,0.02,-0.02,0,0.85,0.05,-0.05,0,8.2,6.8,-3.7,0
WASP-45 b,Published Confirmed,0,3.126089,0.000003,-0.000003,0,306.38812,18.43414,-17.79848,0,0.85,0.04,-0.04,0,0.85,0.08,-0.07,0,,,,
WASP-84 b,Published Confirmed,0,8.5234962,0.0000037,-0.0000037,0,218.34921,10.48839,-10.48839,0,0.77,0.02,-0.02,0,0.85,0.06,-0.06,0,2.1,1.6,-1.6,0
CoRoT-18 b,Published Confirmed,0,1.9000693,0.0000028,-0.0000028,0,1039.3041,54.0311,-54.0311,0,0.92,0.06,-0.06,0,0.86,0.06,-0.06,0,,,,
HAT-P-17 b,Published Confirmed,0,10.338523,0.000009,-0.000009,0,169.71,5.72,-5.72,0,0.84,0.02,-0.02,0,0.86,0.04,-0.04,0,7.8,3.3,-3.3,0
HAT-P-17 b,Published Confirmed,0,10.338523,0.000009,-0.000009,0,170.67471,5.40311,-5.40311,0,0.84,0.02,-0.02,0,0.86,0.04,-0.04,0,7.8,3.3,-3.3,0
HATS-44 b,Published Confirmed,0,2.7439004,0.0000032,-0.0000032,0,177.9848,34.9613,-34.9613,0,0.85,0.04,-0.04,0,0.86,0.02,-0.02,0,9.7,2.4,-4,0
HD 3167 b,Published Confirmed,0,0.959641,0.000011,-0.000012,0,5.02,0.38,-0.38,0,0.86,0.04,-0.04,0,0.86,0.03,-0.03,0,,,,
HD 3167 c,Published Confirmed,0,29.8454,0.0012,-0.0012,0,9.8,1.3,-1.24,0,0.86,0.04,-0.04,0,0.86,0.03,-0.03,0,,,,
K2-29 b,Published Confirmed,0,3.2589263,0.0000015,-0.0000015,0,194.82979,8.58141,-8.26358,0,0.75,0.04,-0.04,0,0.86,0.04,-0.04,0,2.6,2.5,-1.1,0
K2-32 b,Published Confirmed,0,8.99213,0.00016,-0.00016,0,16.5,2.7,-2.7,0,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,7.9,4.5,-4.5,0
K2-32 c,Published Confirmed,0,20.6602,0.0017,-0.0017,0,12.1,,,1,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,7.9,4.5,-4.5,0
K2-32 d,Published Confirmed,0,31.7154,0.0022,-0.0022,0,10.3,4.7,-4.7,0,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,7.9,4.5,-4.5,0
KOI-3503 b,Published Confirmed,0,21.185,,,0,9.2,,,1,1.25,0.03,-0.03,0,0.86,0.02,-0.02,0,,,,
KOI-3503 c,Published Confirmed,0,31.828,,,0,10.36,,,1,1.25,0.03,-0.03,0,0.86,0.02,-0.02,0,,,,
NGTS-11 b,Published Confirmed,0,35.45533,0.00019,-0.00019,0,109.33352,29.24036,-23.20159,0,0.83,0.01,-0.01,0,0.86,0.03,-0.03,0,3.9,1.6,-1.6,0
TOI-125 b,Published Confirmed,0,4.65382,0.00033,-0.00031,0,9.5,0.88,-0.88,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,6.8,4.4,-4.1,0
