,times_rv_observed,rv_observed,rv_err_observed,times_rv_orbit,rv_orbit,rv_orbit_sum,times_astrometry_observed,ra_observed,dec_observed,ra_err_observed,dec_err_observed,times_astrometry_orbit,ra_orbit,ra_orbit_sum,dec_orbit,dec_orbit_sum
8728,,,,6441.521352135214,[-0.03289068  5.53648244],5.503591752225225,,,,,,3110.970297029703,[-5.32339488e-08 -3.64869825e-04],-0.0003649230590348137,[-2.90315751e-07 -2.17053851e-04],-0.0002173441671386019
8729,,,,6441.881288128813,[-0.03256267  5.53299499],5.500432322333095,,,,,,3111.326732673267,[-5.44972904e-08 -3.65036115e-04],-0.0003650906126869271,[-2.89878349e-07 -2.16912003e-04],-0.00021720188132113481
8730,,,,6442.241224122412,[-0.03223352  5.52950635],5.497272836654546,,,,,,3111.6831683168316,[-5.57585822e-08 -3.65202319e-04],-0.00036525807718890347,[-2.89430044e-07 -2.16770103e-04],-0.00021705953284354373
8731,,,,6442.601160116012,[-0.03190324  5.52601653],5.494113283841713,,,,,,3112.039603960396,[-5.70177774e-08 -3.65368435e-04],-0.00036542545245075303,[-2.88970856e-07 -2.16628151e-04],-0.00021691712175779453
8732,,,,6442.961096109611,[-0.03157185  5.52252551],5.490953652520028,,,,,,3112.39603960396,[-5.82748293e-08 -3.65534464e-04],-0.0003655927383826092,[-2.88500804e-07 -2.16486147e-04],-0.00021677464811626376
8733,,,,6443.321032103211,[-0.03123937  5.5190333 ],5.487793931288502,,,,,,3112.7524752475247,[-5.95296913e-08 -3.65700405e-04],-0.00036575993489473,[-2.88019912e-07 -2.16344092e-04],-0.00021663211197173526
8734,,,,6443.68096809681,[-0.03090579  5.5155399 ],5.4846341087201855,,,,,,3113.108910891089,[-6.07823169e-08 -3.65866260e-04],-0.00036592704189749773,[-2.87528199e-07 -2.16201985e-04],-0.00021648951337740227
8735,,,,6444.040904090409,[-0.03057114  5.51204531],5.481474173362546,,,,,,3113.4653465346532,[-6.20326598e-08 -3.66032027e-04],-0.0003660940593014241,[-2.87025688e-07 -2.16059827e-04],-0.00021634685238686199
8736,,,,6444.400840084008,[-0.03023542  5.50854954],5.478314113737868,,,,,,3113.8217821782177,[-6.32806737e-08 -3.66197706e-04],-0.0003662609870171475,[-2.86512401e-07 -2.15917617e-04],-0.00021620412905411855
8737,,,,6444.760776077608,[-0.02989866  5.50505258],5.475153918343621,,,,,,3114.1782178217823,[-6.45263125e-08 -3.66363299e-04],-0.00036642782495543844,[-2.85988360e-07 -2.15775355e-04],-0.00021606134343357813
8738,,,,6445.120712071208,[-0.02956086  5.50155443],5.471993575652936,,,,,,3114.5346534653463,[-6.57695303e-08 -3.66528803e-04],-0.00036659457302719783,[-2.85453589e-07 -2.15633042e-04],-0.00021591849558005077
8739,,,,6445.480648064807,[-0.02922203  5.4980551 ],5.468833074114854,,,,,,3114.891089108911,[-6.70102810e-08 -3.66694221e-04],-0.00036676123114346234,[-2.84908110e-07 -2.15490677e-04],-0.00021577558554874548
8740,,,,6445.8405840584055,[-0.02888219  5.49455459],5.46567240215485,,,,,,3115.2475247524753,[-6.82485189e-08 -3.66859551e-04],-0.0003669277992154029,[-2.84351948e-07 -2.15348261e-04],-0.00021563261339527234
8741,,,,6446.200520052005,[-0.02854134  5.49105289],5.4625115481751525,,,,,,3115.6039603960394,[-6.94841985e-08 -3.67024793e-04],-0.0003670942771543265,[-2.83785126e-07 -2.15205794e-04],-0.0002154895791756393
8742,,,,6446.560456045605,[-0.02819951  5.48755001],5.459350500555133,,,,,,3115.960396039604,[-7.07172740e-08 -3.67189948e-04],-0.00036726066487168,[-2.83207670e-07 -2.15063275e-04],-0.00021534648294625037
